Cenário,Modelo,Accuracy,Precision,Recall,F1-Score
Baseline,TEXTBLOB,0.8100848256361922,0.8762942779291553,0.9013452914798208,0.8886432716219951
Baseline,VADER,0.8171536286522149,0.8956916099773242,0.8856502242152466,0.8906426155580609
Baseline,STANZA,0.7770970782280867,0.9019006744328631,0.8245515695067265,0.861493411420205
Sem Números,TEXTBLOB,0.8100848256361922,0.8762942779291553,0.9013452914798208,0.8886432716219951
Sem Números,VADER,0.8171536286522149,0.8956916099773242,0.8856502242152466,0.8906426155580609
Sem Números,STANZA,0.7789820923656927,0.9001825928180158,0.8290358744394619,0.8631456084038518
Full Context,TEXTBLOB,0.8053722902921772,0.8776859504132232,0.8929372197309418,0.8852459016393442
Full Context,VADER,0.8213949104618284,0.895329206527856,0.8918161434977578,0.8935692221286156
Full Context,STANZA,0.763430725730443,0.909846547314578,0.797645739910314,0.8500597371565114
Sem Lematização,TEXTBLOB,0.8124410933081998,0.8782751091703057,0.9019058295964124,0.889933628318584
Sem Lematização,VADER,0.819038642789821,0.8972758229284904,0.8862107623318386,0.8917089678510999
Sem Lematização,STANZA,0.7737983034872762,0.9019728729963008,0.820067264573991,0.8590722254844392
